tx,rx_rssi,fp_rssi,range,nlos
2,-68.65,-76.38,1.502061,0
2,-69.04,-79.21,1.48799,0
2,-69.59,-78.27,1.445777,0
2,-66.96,-82.36,1.35197,0
2,-68.55,-75.64,1.441087,0
2,-68.36,-75.55,1.605249,0
2,-67.26,-79.94,1.384802,0
2,-69.13,-76.41,1.431706,0
2,-67.38,-74.57,1.431706,0
2,-67.79,-72.56,1.492681,0
2,-68.06,-72.39,1.276924,0
2,-67.97,-73.05,1.389493,0
2,-67.76,-74.35,1.516132,0
2,-66.89,-73.94,1.4833,0
2,-67.23,-76.57,1.436396,0
2,-67.75,-72.66,1.534894,0
2,-66.6,-76.45,1.858528,0
2,-68.16,-73.83,1.61463,0
2,-67.67,-73.4,1.586488,0
2,-67.77,-74.38,2.01331,0
2,-67.43,-74.54,2.820052,0
2,-67.08,-72.34,3.007666,0
2,-67.99,-79.7,3.673697,0
2,-68.79,-80.39,4.517961,0
2,-69.43,-89.71,4.37256,0
2,-67.42,-88.55,4.358489,0
2,-67.67,-73.97,4.76655,0
2,-69.88,-87.27,3.767504,0
2,-66.88,-76.47,3.500153,0
2,-67.37,-75.02,3.298468,0
2,-68.82,-77.95,3.260945,0
2,-67.07,-79.48,3.138996,0
2,-68.12,-78.09,3.251564,0
2,-69.84,-82.06,2.871646,0
2,-68.91,-81.65,2.40261,0
2,-69.42,-75.04,1.835077,0
2,-68.6,-90.8,1.516132,0
2,-66.95,-74.54,1.417635,0
2,-68.34,-76.35,1.455158,0
2,-67.98,-76.1,1.506752,0
2,-68.36,-76.77,1.47861,0
2,-67.92,-77.11,1.464538,0
2,-67.99,-76.5,1.473919,0
2,-68.28,-81.12,1.328518,0
2,-67.8,-76.96,1.150285,0
2,-69.18,-77.14,0.967361,0
2,-68.05,-81.67,0.925147,0
2,-67.92,-83.46,0.906386,0
2,-68.76,-76.1,1.08931,0
2,-68.23,-76.55,1.276924,0
2,-67.84,-78.45,1.337899,0
2,-69.78,-78.62,1.34728,0
2,-67.93,-79.53,1.389493,0
2,-67.73,-78.45,1.319137,0
2,-68.32,-76.91,1.375422,0
2,-67.75,-72.63,1.699056,0
2,-66.91,-78.57,2.355706,0
2,-67.81,-74.44,3.007666,0
2,-69.05,-78.21,3.298468,0
2,-67.61,-79.62,3.640864,0
2,-68.15,-90.47,3.692458,0
2,-67.41,-75.44,3.917595,0
2,-67.64,-78.74,4.020783,0
2,-68.15,-84.24,4.24592,0
2,-68.13,-75.85,4.081758,0
2,-67.64,-72.82,4.039544,0
2,-67.29,-73.16,4.292824,0
2,-68.33,-85.45,4.339727,0
2,-68.29,-85.16,4.541413,0
2,-67.2,-72.91,4.428844,0
2,-68.46,-93.08,3.781575,0
2,-67.47,-76.39,4.236539,0
2,-67.34,-84.21,3.350062,0
2,-68.17,-73.72,3.087402,0
2,-68.64,-78.1,3.19528,0
2,-67.13,-73.6,3.199971,0
2,-67.99,-76.23,3.232803,0
2,-68.05,-78.33,3.223422,0
2,-67.45,-77.89,3.218732,0
2,-67.68,-73.24,3.068641,0
2,-69.37,-77.24,2.829432,0
2,-67.7,-73.58,2.730935,0
2,-68.01,-80.72,2.956072,0
2,-69.1,-77.85,2.895097,0
2,-67.86,-76.94,2.904478,0
2,-67.26,-78.84,2.979524,0
2,-69.2,-77.68,2.909168,0
2,-68.93,-77.56,2.918549,0
2,-67.53,-76.63,2.721554,0
2,-68.19,-75.1,2.416681,0
2,-67.35,-74.26,2.050833,0
2,-67.92,-79.22,1.999239,0
2,-68.8,-75.56,2.177473,0
2,-68.83,-75.97,2.182163,0
2,-67.37,-74.96,2.088356,0
2,-67.87,-75.25,2.13526,0
2,-66.75,-75.48,2.064904,0
2,-67.64,-83.08,1.844457,0
2,-68.38,-80.38,2.078975,0
2,-66.72,-78.11,2.060214,0
2,-67.91,-80.34,2.064904,0
2,-67.72,-76.63,2.064904,0
2,-69.48,-79.71,2.055523,0
2,-69.08,-78.75,1.975787,0
2,-69.78,-82.15,1.980478,0
2,-66.85,-77.93,2.219686,0
2,-68.04,-74.36,2.632437,0
2,-68.81,-77.69,3.439179,0
2,-67.08,-77.25,3.387585,0
2,-68.57,-88.91,4.367869,0
2,-68.61,-83.03,4.189636,0
2,-66.76,-73.21,4.485128,0
2,-67.93,-83.45,4.274062,0
2,-67.39,-77.76,3.439179,0
2,-68.48,-79.45,3.078021,0
2,-67.87,-83.33,2.735625,0
2,-68.36,-73.99,2.468275,0
2,-68.43,-79.62,2.308803,0
2,-68.47,-90.1,1.989858,0
2,-67.66,-72.87,1.769412,0
2,-67.89,-75.72,1.520823,0
2,-67.28,-77.01,1.675605,0
2,-68.02,-76.47,1.4833,0
2,-67.8,-85.61,1.656843,0
2,-69.03,-78.01,2.182163,0
2,-68.14,-78.06,3.096783,0
2,-68.98,-77.15,3.284397,0
2,-68.35,-79.91,3.05926,0
2,-67.49,-74.88,3.814407,0
2,-69.49,-87.89,3.776884,0
2,-68.67,-79.81,4.292824,0
2,-67.32,-74.68,4.269372,0
2,-67.74,-72.53,4.288133,0
2,-69.26,-97.79,4.133352,0
2,-66.83,-85.36,4.926022,0
2,-69,-79.11,3.894143,0
2,-69.54,-83.54,3.7206,0
2,-67.88,-73.99,3.500153,0
2,-67.89,-77.26,3.279707,0
2,-68.28,-74.62,3.185899,0
2,-67.13,-76.4,3.026427,0
2,-68.16,-75.23,2.740316,0
2,-68.42,-77.91,2.501107,0
2,-67.69,-76.82,2.102427,0
2,-67.06,-81.7,2.294732,0
2,-66.8,-85.06,2.238447,0
2,-67.39,-81.85,2.351016,0
2,-68.93,-80.43,2.205615,0
2,-67.44,-83.06,2.158711,0
2,-68.61,-83.93,2.154021,0
2,-68.36,-78.89,2.158711,0
2,-67.39,-75.86,2.177473,0
2,-68.11,-78.95,2.036762,0
2,-67.25,-75.29,1.891361,0
2,-66.98,-71.99,1.398873,0
2,-68.27,-74.82,1.337899,0
2,-68.42,-73.54,1.417635,0
2,-66.26,-77.92,1.581797,0
2,-68.99,-85.42,1.459848,0
2,-67.58,-79.43,1.581797,0
2,-68.28,-79.53,1.469229,0
2,-68.86,-80.66,1.525513,0
2,-67.4,-80.67,1.548965,0
2,-67.79,-83.93,1.469229,0
2,-67.81,-79.75,1.492681,0
2,-66.62,-88.38,1.361351,0
2,-67.71,-83.29,1.445777,0
2,-68.92,-82.82,1.511442,0
2,-68.64,-75.39,2.083666,0
2,-68.35,-79.69,2.585534,0
2,-67.66,-73.7,3.087402,0
2,-68.24,-82.36,3.551747,0
2,-70.32,-85.54,4.138042,0
2,-67.91,-87.58,4.039544,0
2,-68.18,-78,4.288133,0
2,-68.1,-79.48,4.269372,0
2,-68.88,-86.75,4.489819,0
2,-69.97,-89.8,4.822834,0
2,-67.48,-73.04,4.874428,0
2,-67.69,-73.46,4.799382,0
2,-68.45,-74.04,4.794692,0
2,-67.25,-74.84,4.869738,0
2,-66.7,-75.04,5.268418,0
2,-68.63,-74.29,5.047971,0
2,-67.35,-74.47,5.221514,0
2,-67.08,-72.78,5.052661,0
2,-69.24,-82.66,4.292824,0
2,-68.18,-84.33,3.85662,0
2,-68.96,-83.05,3.532986,0
2,-67.56,-75.35,3.181209,0
2,-68.15,-79.51,3.031118,0
2,-68.29,-82.86,2.684031,0
2,-67.83,-79.14,2.571463,0
2,-67.7,-76.7,2.313493,0
2,-68.9,-74.02,1.952336,0
2,-68.07,-71.99,1.431706,0
2,-67.92,-76.14,1.112762,0
2,-67.34,-78.07,1.173736,0
2,-67.66,-73.69,1.605249,0
2,-68.16,-79.58,1.966407,0
2,-66.92,-77.39,2.205615,0
2,-68.45,-74.39,2.80129,0
2,-66.74,-74.78,3.185899,0
2,-67.8,-81.62,3.345372,0
2,-69.08,-81.12,3.697148,0
2,-68.77,-83.26,4.208397,0
2,-69.89,-89.35,4.738408,0
2,-68.74,-79.08,4.325656,0
2,-69.11,-90.21,4.438225,0
2,-68.02,-84.82,4.761859,0
2,-67.68,-87.48,4.790002,0
2,-67.5,-75.98,4.259991,0
2,-68.43,-73.6,3.880072,0
2,-67.31,-74.2,3.335991,0
2,-67.29,-75.65,2.998285,0
2,-68.2,-74.94,2.688722,0
2,-67.2,-79,2.383848,0
2,-69.62,-83.17,2.13995,0
2,-68.21,-77.31,1.849148,0
2,-67.63,-76.07,1.595868,0
2,-67.42,-73.9,1.248782,0
2,-67.53,-87.6,1.366041,0
2,-67.9,-75.06,1.403564,0
2,-67.38,-75.64,1.319137,0
2,-67.44,-74.37,1.309757,0
2,-68.54,-73.88,1.234711,0
2,-67.5,-73.5,1.281615,0
2,-67.47,-76.88,1.244092,0
2,-68.04,-77.5,1.314447,0
2,-67.15,-76.75,1.295686,0
2,-67.47,-75.8,1.276924,0
2,-67.77,-76.12,1.309757,0
2,-66.6,-75.04,1.300376,0
2,-67.73,-75.49,1.239401,0
2,-66.34,-75.92,1.300376,0
2,-67.66,-78.5,1.300376,0
2,-66.6,-73.08,1.412945,0
2,-68.26,-72.79,1.506752,0
2,-67.66,-74.33,1.492681,0
2,-67.03,-73.02,1.211259,0
2,-68.29,-83.03,1.154975,0
2,-68.25,-78.37,1.398873,0
2,-67.94,-81.02,1.309757,0
2,-69.46,-86.34,1.239401,0
2,-67.05,-79.77,1.605249,0
2,-67.8,-74.85,1.033026,0
2,-67.82,-73.38,0.901696,0
2,-68.3,-73.15,0.868863,0
2,-66.69,-71.87,0.784437,0
2,-67.12,-71.82,0.784437,0
2,-66.37,-72.81,0.817269,0
2,-66.39,-73.09,0.82196,0
2,-65.91,-72.98,0.793817,0
2,-66.9,-72.48,0.789127,0
2,-66.48,-72.45,0.751604,0
2,-67.2,-72.96,0.83134,0
2,-68.65,-76.38,1.502061,0
2,-69.04,-79.21,1.48799,0
2,-69.59,-78.27,1.445777,0
2,-66.96,-82.36,1.35197,0
2,-68.55,-75.64,1.441087,0
2,-68.36,-75.55,1.605249,0
2,-67.26,-79.94,1.384802,0
2,-69.13,-76.41,1.431706,0
2,-67.38,-74.57,1.431706,0
2,-67.79,-72.56,1.492681,0
2,-68.06,-72.39,1.276924,0
2,-67.97,-73.05,1.389493,0
2,-67.76,-74.35,1.516132,0
2,-66.89,-73.94,1.4833,0
2,-67.23,-76.57,1.436396,0
2,-67.75,-72.66,1.534894,0
2,-66.6,-76.45,1.858528,0
2,-68.16,-73.83,1.61463,0
2,-67.67,-73.4,1.586488,0
2,-67.77,-74.38,2.01331,0
2,-67.43,-74.54,2.820052,0
2,-67.08,-72.34,3.007666,0
2,-67.99,-79.7,3.673697,0
2,-68.79,-80.39,4.517961,0
2,-69.43,-89.71,4.37256,0
2,-67.42,-88.55,4.358489,0
2,-67.67,-73.97,4.76655,0
2,-69.88,-87.27,3.767504,0
2,-66.88,-76.47,3.500153,0
2,-67.37,-75.02,3.298468,0
2,-68.82,-77.95,3.260945,0
2,-67.07,-79.48,3.138996,0
2,-68.12,-78.09,3.251564,0
2,-69.84,-82.06,2.871646,0
2,-68.91,-81.65,2.40261,0
2,-69.42,-75.04,1.835077,0
2,-68.6,-90.8,1.516132,0
2,-66.95,-74.54,1.417635,0
2,-68.34,-76.35,1.455158,0
2,-67.98,-76.1,1.506752,0
2,-68.36,-76.77,1.47861,0
2,-67.92,-77.11,1.464538,0
2,-67.99,-76.5,1.473919,0
2,-68.28,-81.12,1.328518,0
2,-67.8,-76.96,1.150285,0
2,-69.18,-77.14,0.967361,0
2,-68.05,-81.67,0.925147,0
2,-67.92,-83.46,0.906386,0
2,-68.76,-76.1,1.08931,0
2,-68.23,-76.55,1.276924,0
2,-67.84,-78.45,1.337899,0
2,-69.78,-78.62,1.34728,0
2,-67.93,-79.53,1.389493,0
2,-67.73,-78.45,1.319137,0
2,-68.32,-76.91,1.375422,0
2,-67.75,-72.63,1.699056,0
2,-66.91,-78.57,2.355706,0
2,-67.81,-74.44,3.007666,0
2,-69.05,-78.21,3.298468,0
