tx,rx_rssi,fp_rssi,range,nlos
2,-66.57,-73.53,1.042406,0
2,-68.02,-75.76,1.103381,0
2,-68.54,-72.66,1.051787,0
2,-66.39,-71.34,1.009574,0
2,-68.47,-75.61,1.0142639999999998,0
2,-67.89,-72.63,0.990812,0
2,-67.01,-73.74,0.967361,0
2,-66.44,-73.73,0.967361,0
2,-66.34,-71.71,1.0142639999999998,0
2,-67.47,-73.79,0.948599,0
2,-67.5,-72.86,1.004884,0
2,-67.14,-73.0,0.929838,0
2,-67.76,-70.81,1.028335,0
2,-66.94,-74.44,0.986122,0
2,-66.35,-73.02,0.845411,0
2,-68.14,-73.54,0.995503,0
2,-67.73,-73.41,1.0846200000000001,0
2,-68.35,-78.39,1.4833,0
2,-68.18,-86.12,1.431706,0
2,-67.67,-74.2,1.684985,0
2,-68.21,-76.91,1.680295,0
2,-68.6,-76.11,1.469229,0
2,-68.96,-77.93,1.328518,0
2,-68.77,-72.8,1.183117,0
2,-69.75,-75.78,1.276924,0
2,-67.86,-75.5,1.103381,0
2,-69.19,-76.65,1.22064,0
2,-67.23,-71.95,1.145594,0
2,-69.22,-73.9,1.187807,0
2,-67.36,-73.66,1.427016,0
2,-68.32,-72.94,1.248782,0
2,-67.16,-73.41,1.361351,0
2,-67.93,-73.0,1.436396,0
2,-68.12,-82.76,1.661533,0
2,-67.81,-82.65,1.792863,0
2,-68.06,-76.53,2.130569,0
2,-67.26,-73.25,2.39792,0
2,-69.28,-77.69,2.759077,0
2,-68.73,-74.87,2.777838,0
2,-67.98,-74.09,3.002976,0
2,-67.95,-73.05,3.148377,0
2,-68.66,-72.86,3.167138,0
2,-68.35,-73.27,2.951382,0
2,-68.18,-77.34,2.684031,0
2,-68.24,-77.73,2.3744680000000002,0
2,-68.46,-76.06,2.2665900000000003,0
2,-67.94,-76.81,2.022691,0
2,-67.12,-73.87,1.736579,0
2,-67.32,-74.3,1.4833,0
2,-68.34,-82.03,1.267544,0
2,-68.57,-76.56,1.094,0
2,-67.61,-76.81,0.948599,0
2,-68.16,-73.25,0.845411,0
2,-67.42,-74.98,0.836031,0
2,-66.41,-76.0,0.554609,0
2,-68.46,-73.39,0.629655,0
2,-66.98,-72.06,0.624965,0
2,-67.6,-75.61,0.6390359999999999,0
2,-68.17,-72.01,0.629655,0
2,-68.2,-73.48,0.573371,0
2,-66.91,-73.01,0.531157,0
2,-68.34,-73.76,0.535848,0
2,-67.4,-73.78,0.484254,0
2,-68.04,-71.66,0.512396,0
2,-67.47,-74.2,0.498325,0
2,-67.12,-76.48,0.601513,0
2,-67.77,-77.74,0.512396,0
2,-68.08,-73.33,0.535848,0
2,-67.66,-72.7,0.69063,0
2,-67.84,-74.13,0.906386,0
2,-66.83,-76.21,0.7844369999999999,0
2,-68.7,-76.07,0.5170859999999999,0
2,-66.17,-71.64,0.35292399999999996,0
2,-64.14,-72.59,0.17469,0
2,-66.17,-73.53,0.29194899999999996,0
2,-65.72,-73.66,0.4795640000000001,0
2,-67.94,-74.17,0.6859390000000001,0
2,-66.3,-73.27,0.8688629999999999,0
2,-67.82,-72.42,0.878244,0
2,-66.94,-71.21,0.7750560000000001,0
2,-66.64,-73.81,0.671868,0
2,-68.33,-72.76,1.544275,0
2,-67.83,-76.02,1.0236450000000001,0
2,-67.87,-72.49,0.95798,0
2,-68.15,-75.09,0.948599,0
2,-68.19,-74.54,0.95798,0
2,-67.74,-74.7,1.333209,0
2,-69.46,-75.9,1.591178,0
2,-68.16,-74.25,2.069595,0
2,-66.29,-74.81,2.496417,0
2,-67.38,-73.68,2.745006,0
2,-68.2,-77.26,2.871646,0
2,-68.72,-80.5,3.270326,0
2,-68.17,-73.07,4.719646,0
2,-69.09,-94.08,3.7440519999999995,0
2,-69.61,-81.66,4.288133,0
2,-68.21,-74.94,4.560174,0
2,-68.22,-76.25,4.710265,0
2,-67.25,-75.21,5.015139,0
2,-68.21,-73.16,5.1793010000000015,0
2,-68.42,-73.01,5.484173999999999,0
2,-68.35,-72.53,5.779667,0
2,-68.71,-76.09,6.140823999999999,0
2,-68.67,-73.86,6.314367,0
2,-68.38,-72.93,6.501982,0
2,-68.66,-73.27,6.8068550000000005,0
2,-68.05,-75.02,7.121109,0
2,-68.14,-73.72,7.369698,0
2,-68.45,-73.15,7.613596,0
2,-69.0,-74.74,7.951302,0
2,-67.53,-74.55,8.265556,0
2,-67.76,-85.17,8.603261999999999,0
2,-67.7,-77.85,8.856541,0
2,-68.51,-79.59,9.142653,0
2,-67.69,-79.65,9.428764,0
2,-68.3,-82.04,9.733638,0
2,-69.1,-75.68,9.944704,0
2,-68.11,-75.17,10.03382,0
2,-66.31,-72.69,10.301171,0
2,-68.73,-75.12,10.610734,0
2,-68.25,-78.24,10.849943,0
2,-68.08,-78.39,11.07977,0
2,-68.77,-72.68,11.192339,0
2,-67.96,-74.13,11.379953,0
2,-69.48,-74.77,11.47376,0
2,-68.01,-76.9,11.464379,0
2,-68.06,-74.77,11.225171000000001,0
2,-67.18,-73.46,11.065699,0
2,-68.57,-74.27,10.68109,0
2,-67.07,-73.09,10.526308,0
2,-66.48,-72.58,10.432501,0
2,-68.07,-74.42,10.2871,0
2,-66.34,-73.1,9.982227,0
2,-67.84,-75.02,9.752399,0
2,-67.02,-74.28,9.503810000000001,0
2,-68.36,-73.72,9.325577,0
2,-68.29,-73.55,9.114511,0
2,-68.04,-74.77,8.917516,0
2,-67.74,-74.25,8.781495,0
2,-67.1,-75.49,8.256175,0
2,-68.49,-73.45,7.9419210000000025,0
2,-67.57,-72.64,7.608906,0
2,-67.96,-75.48,7.3462460000000025,0
2,-69.34,-75.78,7.041372999999999,0
2,-67.22,-73.32,6.7318089999999975,0
2,-69.09,-73.13,6.455078,0
2,-68.04,-74.64,6.173657,0
2,-67.24,-76.91,5.8547129999999985,0
2,-70.36,-74.33,5.6155040000000005,0
2,-67.77,-72.79,5.4278900000000005,0
2,-67.89,-73.0,5.0479709999999995,0
2,-68.57,-80.67,4.743098000000002,0
2,-68.02,-77.46,4.414773,0
2,-68.0,-72.86,4.222468,0
2,-68.44,-73.0,3.973879,0
2,-67.94,-71.66,3.725291,0
2,-70.33,-73.85,3.373514,0
2,-67.93,-73.41,3.171828,0
2,-68.0,-76.25,2.890407,0
2,-68.59,-73.0,2.5949150000000003,0
2,-66.99,-72.64,2.426062,0
2,-68.67,-73.75,2.186853,0
2,-67.85,-71.71,2.046143,0
2,-70.4,-74.4,1.769412,0
2,-68.3,-73.68,1.539584,0
2,-67.11,-74.45,1.469229,0
2,-68.85,-73.4,1.384802,0
2,-67.52,-74.65,1.427016,0
2,-68.44,-80.61,1.436396,0
2,-68.13,-75.8,1.445777,0
2,-67.65,-74.9,1.694366,0
2,-67.76,-78.28,1.760031,0
2,-68.25,-75.13,1.9898580000000001,0
2,-67.66,-75.74,2.13526,0
2,-68.14,-80.08,2.4964169999999997,0
2,-69.87,-82.09,2.557392,0
2,-69.14,-82.6,2.6699599999999997,0
2,-68.74,-77.56,2.918549,0
2,-67.44,-72.78,3.209351,0
2,-68.69,-78.81,3.5705089999999995,0
2,-66.62,-78.34,3.6643160000000004,0
2,-67.59,-72.9,3.903524,0
2,-68.35,-75.51,4.213088,0
2,-66.91,-76.94,4.527342,0
2,-67.8,-76.49,4.818144,0
2,-68.56,-72.77,5.099565,0
2,-69.17,-73.64,5.3575349999999995,0
2,-68.46,-72.73,5.634266,0
2,-67.68,-73.8,5.9625910000000015,0
2,-69.09,-75.17,6.187728,0
2,-68.57,-75.26,6.436317,0
2,-67.8,-73.46,6.7458800000000005,0
2,-69.61,-76.34,7.00385,0
2,-69.61,-75.35,7.388458999999999,0
2,-69.09,-74.31,7.6558100000000024,0
2,-69.41,-73.62,7.8340429999999985,0
2,-68.59,-73.46,8.167058,0
2,-68.97,-74.5,8.429718,0
2,-68.63,-74.27,8.687688,0
2,-67.6,-76.48,8.950348,0
2,-69.34,-73.85,9.264602,0
2,-68.17,-77.13,9.606998,0
2,-67.7,-74.71,9.925942,0
2,-70.54,-75.06,10.212054,0
2,-69.31,-72.85,10.465333,0
2,-69.37,-73.82,10.723303,0
2,-71.73,-77.97,11.046938,0
2,-86.83,-89.61,11.258004,0
2,-72.8,-81.09,11.623851,0
2,-71.67,-75.0,11.86775,0
2,-70.84,-74.71,12.25705,0
2,-83.55,-84.97,12.547852,0
2,-75.31,-81.85,12.9137,0
2,-71.2,-82.16,13.199811,0
2,-72.49,-75.97,13.378045000000002,0
2,-86.58,-93.86,13.762654,0
2,-76.48,-84.17,13.945578,0
2,-74.52,-78.8,14.36771,0
2,-73.05,-77.48,14.588157,0
2,-72.72,-77.31,14.935243,0
